distancia y (mm),distancia L (cm),error L,Vpp rec (mV),Escala Vpp (mV),Escala tiempo (mu),promedio,Vpp emi (V),Freciencia emi,distancia pezoelectricos(cm)
,"88,5","0,5",,100,10,16,,,10
60,,,,,,,,,
140,,,,,,,,,
220,,,,,,,,,
300,,,,,,,,,
380,,,,,,,,,
"12,5",,,"572,2",,,,,,
"22,5",,,"578,8",,,,,,
"32,5",,,"540,3",,,,,,
"42,5",,,"417,9",,,,,,
"52,5",,,"239,9",,,,,,
"62,5",,,"100,4",,,,,,
"72,5",,,"289,3",,,,,,
"82,5",,,"421,1",,,,,,
"92,5",,,"604,5",,,,,,
"102,5",,,"710,7",,,,,,
"112,5",,,"725,6",,,,,,
"122,5",,,"597,3",,,,,,
"132,5",,,"323,3",,,,,,
"142,5",,,"208,1",,,,,,
"152,5",,,"152,7",,,,,,
"162,5",,,"341,2",,,,,,
"172,5",,,"576,3",,,,,,
"182,5",,,"709,8",,,,,,
"192,5",,,"744,5",,,,,,
"202,5",,,"666,6",,,,,,
"212,5",,,"461,8",,,,,,
"222,5",,,"146,5",,,,,,
"232,5",,,"170,1",,,,,,
"242,5",,,"346,8",,,,,,
"252,5",,,"543,9",,,,,,
"262,5",,,"623,9",,,,,,
"272,5",,,"691,2",,,,,,
"282,5",,,"734,7",,,,,,
"292,5",,,596,,,,,,
"302,5",,,"191,1",,,,,,
"312,5",,,"96,42",,,,,,
"322,5",,,"423,7",,,,,,
"332,5",,,"615,2",,,,,,
"342,5",,,"923,6",,,,,,
"352,5",,,"959,1",,,,,,
"362,5",,,"759,5",,,,,,
"372,5",,,"564,1",,,,,,
"382,5",,,"224,9",,,,,,
"392,5",,,"67,04",,,,,,
"402,5",,,"383,4",,,,,,
"412,5",,,"642,1",,,,,,
"422,5",,,"793,7",,,,,,
"432,5",,,766,,,,,,
"442,5",,,"725,2",,,,,,
"452,5",,,"568,4",,,,,,
"462,5",,,"338,7",,,,,,
"472,5",,,"140,7",,,,,,
"482,5",,,"376,1",,,,,,
"492,5",,,"462,7",,,,,,
"502,5",,,"601,9",,,,,,
"512,5",,,"664,5",,,,,,
"522,5",,,"712,1",,,,,,
"532,5",,,"522,8",,,,,,
